order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
VIRTUAL-00040,,,,VIRTUAL_PC,PC,1337.5,0.85,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,76,1340.0,0.7,BH,2.5,False,False,False,True,False,False,76,76,76,76,76,大辊线,False,False,False
0030085175-000040#M0160-L01,0030085175-000040,0030085175-000040,0030085175-000040-L01,HC340/590DP,DP,1335.0,1.0,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,77,1337.5,0.85,PC,2.5,False,False,False,True,False,False,77,77,77,77,77,大辊线,False,False,False
0030083518-000510#M0503-L01,0030083518-000510,0030083518-000510,0030083518-000510-L01,T280VK,DP,1325.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,78,1335.0,1.0,DP,10.0,False,False,False,False,False,False,78,78,78,78,78,大辊线,False,False,False
0030082156-001040#M0624-L01,0030082156-001040,0030082156-001040,0030082156-001040-L01,T280VK,DP,1325.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,79,1325.0,1.2,DP,0.0,False,False,False,False,False,False,79,79,79,79,79,大辊线,False,False,False
VIRTUAL-00041,,,,VIRTUAL_PC,PC,1325.0,1.467,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,80,1325.0,1.2,DP,0.0,False,False,False,True,False,False,80,80,80,80,80,大辊线,False,False,False
VIRTUAL-00042,,,,VIRTUAL_PC,PC,1325.0,1.733,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,81,1325.0,1.467,PC,0.0,False,False,False,False,False,False,81,81,81,81,81,大辊线,False,False,False
0030082156-000430#M0646-L01,0030082156-000430,0030082156-000430,0030082156-000430-L01,HC340/590DP,DP,1325.0,2.0,22.5,75.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,82,1325.0,1.733,PC,0.0,False,False,False,True,False,False,82,82,82,82,82,大辊线,False,False,False
VIRTUAL-00043,,,,VIRTUAL_PC,PC,1322.5,1.575,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,83,1325.0,2.0,DP,2.5,False,False,False,True,False,False,83,83,83,83,83,大辊线,False,False,False
0030086415-000010#M0013-L01,0030086415-000010,0030086415-000010,0030086415-000010-L01,HC180Y,BH,1320.0,1.15,22.5,100.0,2025-11-30,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,84,1322.5,1.575,PC,2.5,False,False,False,True,False,False,84,84,84,84,84,大辊线,False,False,False
VIRTUAL-00044,,,,VIRTUAL_PC,PC,1320.0,1.075,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,85,1320.0,1.15,BH,0.0,False,False,False,True,False,False,85,85,85,85,85,大辊线,False,False,False
0030085175-000030#M0184-L01,0030085175-000030,0030085175-000030,0030085175-000030-L01,HC340/590DP,DP,1320.0,1.0,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,86,1320.0,1.075,PC,0.0,False,False,False,True,False,False,86,86,86,86,86,大辊线,False,False,False
0030084688-000010#M0258-L01,0030084688-000010,0030084688-000010,0030084688-000010-L01,T280VK,DP,1300.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,87,1320.0,1.0,DP,20.0,False,False,False,False,False,False,87,87,87,87,87,大辊线,False,False,False
0030082156-000170#M0694-L01,0030082156-000170,0030082156-000170,0030082156-000170-L01,HC340/590DP,DP,1300.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,88,1300.0,1.2,DP,0.0,False,False,False,False,False,False,88,88,88,88,88,大辊线,False,False,False
0030082964-000040#M0570-L01,0030082964-000040,0030082964-000040,0030082964-000040-L01,HC340/590DP,DP,1300.0,1.2,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,89,1300.0,1.2,DP,0.0,False,False,False,False,False,False,89,89,89,89,89,大辊线,False,False,False
0030082156-000260#M0682-L01,0030082156-000260,0030082156-000260,0030082156-000260-L01,HC340/590DP,DP,1300.0,1.4,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,90,1300.0,1.2,DP,0.0,False,False,False,False,False,False,90,90,90,90,90,大辊线,False,False,False
0030082964-000110#M0583-L01,0030082964-000110,0030082964-000110,0030082964-000110-L01,HC340/590DP,DP,1300.0,1.5,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,91,1300.0,1.4,DP,0.0,False,False,False,False,False,False,91,91,91,91,91,大辊线,False,False,False
VIRTUAL-00045,,,,VIRTUAL_PC,PC,1300.0,1.75,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,92,1300.0,1.5,DP,0.0,False,False,False,True,False,False,92,92,92,92,92,大辊线,False,False,False
0030082964-000200#M0585-L01,0030082964-000200,0030082964-000200,0030082964-000200-L01,HC340/590DP,DP,1300.0,2.0,22.5,50.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.1875,0.23684210526315788,0.1875,False,False,1,93,1300.0,1.75,PC,0.0,False,False,False,True,False,False,93,93,93,93,93,大辊线,False,False,False
