order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030082156-000370#M667,0030082156-000370,HC340/590DP,DP,1170.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,78,1185.0,2.0,DP,15.0,False,False,False,False,False,False,51,51,51,大轧线,51
0030082156-000360#M688,0030082156-000360,HC340/590DP,DP,1150.0,2.0,840.0,21.5,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,79,1170.0,2.0,DP,20.0,False,False,False,False,False,False,52,52,52,大轧线,52
0030082156-000340#M642,0030082156-000340,HC340/590DP,DP,1120.0,2.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,80,1150.0,2.0,DP,30.0,False,False,False,False,False,False,53,53,53,大轧线,53
0030082156-000350#M677,0030082156-000350,HC340/590DP,DP,1100.0,2.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,81,1120.0,2.0,DP,20.0,False,False,False,False,False,False,54,54,54,大轧线,54
0030084876-000020#M216,0030084876-000020,HC340/590DP,DP,1125.0,1.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,83,1100.0,2.0,DP,-25.0,True,False,True,False,False,False,55,55,55,大轧线,55
0030084058-000010#M377,0030084058-000010,DC01,PC,1122.0,1.5,810.0,21.5,66.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,1,1327.0,False,85,1125.0,1.0,DP,3.0,False,False,True,False,True,True,56,56,56,大轧线,56
0030084752-000040#M200,0030084752-000040,T250P1,加磷高强、烘烤硬化钢,1104.0,1.15,830.0,21.5,74.7,2025-11-30,大辊,big_only,1.0,830.0,830.0,big_roll,2025-11-30,1,1327.0,False,86,1122.0,1.5,PC,18.0,False,False,False,False,True,True,57,57,57,大轧线,57
0020049280-000020#M607,0020049280-000020,DC01,PC,919.0,0.9,810.0,18.5,84.8,2025-11-15,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-11-15,1,1327.0,False,87,1104.0,1.15,加磷高强、烘烤硬化钢,185.0,False,False,False,False,True,True,58,58,58,大轧线,58
0020049084-000060#M698,0020049084-000060,DC01,PC,1803.0,1.0,810.0,25.5,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,1,,,,,False,False,False,False,False,False,59,1,1,小轧线,1
0020049084-000040#M700,0020049084-000040,DC01,PC,1803.0,0.9,810.0,25.5,120.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,2,1803.0,1.0,PC,0.0,False,False,False,False,False,False,60,2,2,小轧线,2
0020049085-000010#M701,0020049085-000010,DC01,PC,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,3,1803.0,0.9,PC,0.0,False,False,False,False,False,False,61,3,3,小轧线,3
0020050205-000040#M290,0020050205-000040,DC01,PC,1700.0,0.8,810.0,25.5,53.54,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,4,1803.0,1.0,PC,103.0,False,False,False,False,False,False,62,4,4,小轧线,4
0020050205-000090#M304,0020050205-000090,DC01,PC,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,5,1700.0,0.8,PC,0.0,False,False,False,False,False,False,63,5,5,小轧线,5
0030084012-000010#M280,0030084012-000010,DC01,PC,1680.0,0.8,810.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,6,1700.0,1.0,PC,20.0,False,False,False,False,False,False,64,6,6,小轧线,6
0020050205-000030#M302,0020050205-000030,DC01,PC,1600.0,0.8,810.0,24.0,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,7,1680.0,0.8,PC,80.0,False,False,False,False,False,False,65,7,7,小轧线,7
0020050205-000060#M301,0020050205-000060,DC01,PC,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,8,1600.0,0.8,PC,4.0,False,False,False,False,False,False,66,8,8,小轧线,8
0030081238-000060#M709,0030081238-000060,T1500HS,HOTFORM,1600.0,1.2,840.0,24.0,312.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,10,1596.0,0.95,PC,-4.0,True,False,False,False,True,True,67,9,9,小轧线,9
0030081238-000020#M706,0030081238-000020,T1500HS,HOTFORM,1600.0,1.5,840.0,24.0,156.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,11,1600.0,1.2,HOTFORM,0.0,False,False,False,False,False,False,68,10,10,小轧线,10
0030081238-000010#M705,0030081238-000010,T1500HS,HOTFORM,1600.0,1.8,840.0,24.0,248.22,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,12,1600.0,1.5,HOTFORM,0.0,False,False,False,False,False,False,69,11,11,小轧线,11
0030081238-000030#M707,0030081238-000030,T1500HS,HOTFORM,1600.0,1.4,840.0,24.0,78.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,14,1600.0,1.8,HOTFORM,0.0,False,False,False,False,False,False,70,12,12,小轧线,12
0030081403-000060#M703,0030081403-000060,T1500HS,HOTFORM,1599.0,1.2,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,15,1600.0,1.4,HOTFORM,1.0,False,False,False,False,False,False,71,13,13,小轧线,13
0030085399-000070#M137,0030085399-000070,T1500HS,HOTFORM,1599.0,1.5,840.0,24.0,104.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,1,1662.0,False,16,1599.0,1.2,HOTFORM,0.0,False,False,False,False,False,False,72,14,14,小轧线,14
0030081238-000040#M710,0030081238-000040,T1500HS,HOTFORM,1590.0,1.4,840.0,24.0,806.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,17,1599.0,1.5,HOTFORM,9.0,False,False,False,False,False,False,73,15,15,小轧线,15
0030085363-000020#M119,0030085363-000020,T1500HS,HOTFORM,1568.0,1.6,840.0,24.0,234.0,2025-12-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-12-15,1,1662.0,False,18,1590.0,1.4,HOTFORM,22.0,False,False,False,False,False,False,74,16,16,小轧线,16
0030085346-000010#M116,0030085346-000010,T1500HS,HOTFORM,1563.0,1.4,840.0,24.0,676.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,1,1662.0,False,19,1568.0,1.6,HOTFORM,5.0,False,False,False,False,False,False,75,17,17,小轧线,17
0030081403-000040#M702,0030081403-000040,T1500HS,HOTFORM,1558.0,1.2,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,1662.0,False,20,1563.0,1.4,HOTFORM,5.0,False,False,False,False,False,False,76,18,18,小轧线,18
0030083730-000010#M460,0030083730-000010,T1500HS,HOTFORM,1540.0,1.4,840.0,24.0,400.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,1,1662.0,False,21,1558.0,1.2,HOTFORM,18.0,False,False,False,False,False,False,77,19,19,小轧线,19
0020049276-000020#M616,0020049276-000020,SPCC,PC,1500.0,1.43,805.0,24.0,105.44,2025-10-31,大辊/小辊,dual,1.0,805.0,805.0,small_roll,2025-10-31,1,1662.0,False,23,1540.0,1.4,HOTFORM,40.0,False,False,False,False,True,True,78,20,20,小轧线,20
0020050276-000070#M264,0020050276-000070,DC01,PC,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,24,1500.0,1.43,PC,0.0,False,False,False,False,False,False,79,21,21,小轧线,21
0020049981-000070#M438,0020049981-000070,DC01,PC,1500.0,2.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,25,1500.0,1.8,PC,0.0,False,False,False,False,False,False,80,22,22,小轧线,22
0020050208-000090#M274,0020050208-000090,DC01,PC,1500.0,2.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,26,1500.0,2.0,PC,0.0,False,False,False,False,False,False,81,23,23,小轧线,23
0020050276-000030#M260,0020050276-000030,DC01,PC,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,27,1500.0,2.0,PC,0.0,False,False,False,False,False,False,82,24,24,小轧线,24
0020050276-000060#M263,0020050276-000060,DC01,PC,1500.0,1.5,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,28,1500.0,2.0,PC,0.0,False,False,False,False,False,False,83,25,25,小轧线,25
0020050276-000050#M262,0020050276-000050,DC01,PC,1500.0,1.2,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,29,1500.0,1.5,PC,0.0,False,False,False,False,False,False,84,26,26,小轧线,26
0020050208-000050#M266,0020050208-000050,DC01,PC,1500.0,1.5,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,30,1500.0,1.2,PC,0.0,False,False,False,False,False,False,85,27,27,小轧线,27
0020049983-000080#M429,0020049983-000080,DC01,PC,1500.0,1.1,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,31,1500.0,1.5,PC,0.0,False,False,False,False,False,False,86,28,28,小轧线,28
0020050208-000010#M272,0020050208-000010,DC01,PC,1500.0,1.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1662.0,False,32,1500.0,1.1,PC,0.0,False,False,False,False,False,False,87,29,29,小轧线,29
