order_id,grade,steel_group,width,thickness,temp_max,temp_min,temp_mean,tons,backlog,due_date,due_sort,width_cluster,seq,prev_width,prev_thickness,prev_group,width_jump,thickness_diff,group_switch,narrow_to_wide,width_jump_violation,thickness_violation,temp_overlap_ok,non_pc_direct_switch,campaign_id,campaign_tons
0020049964-000060,DC01-D,普碳,1500,1.4,850,770,810.0,24.0,156.0,2025-10-31,2025-10-31,5,118,1500.0,1.1,普碳,0.0,0.2999999999999998,False,False,False,False,True,False,4,727.0
0030084902-000020,T1500HS,热成型钢,1465,1.6,825,740,782.5,24.0,364.0,2025-11-15,2025-11-15,5,119,1500.0,1.4,普碳,35.0,0.20000000000000018,True,False,False,False,True,False,4,727.0
0030081403-000050,T1500HS,热成型钢,1455,1.2,825,740,782.5,24.0,104.0,2025-10-15,2025-10-15,5,120,1465.0,1.6,热成型钢,10.0,0.40000000000000013,False,False,False,False,True,False,4,727.0
0030085399-000050,T1500HS,热成型钢,1455,1.4,825,740,782.5,24.0,104.0,2025-11-15,2025-11-15,5,121,1455.0,1.2,热成型钢,0.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0030085364-000040,T1500HS,热成型钢,1448,1.6,825,740,782.5,24.0,78.0,2025-11-15,2025-11-15,5,122,1455.0,1.4,热成型钢,7.0,0.20000000000000018,False,False,False,False,True,False,4,727.0
0030085399-000030,T1500HS,热成型钢,1375,1.4,825,740,782.5,24.0,104.0,2025-11-15,2025-11-15,4,123,1448.0,1.6,热成型钢,73.0,0.20000000000000018,False,False,False,False,True,False,4,727.0
0030085363-000010,T1500HS,热成型钢,1372,1.4,825,740,782.5,24.0,78.0,2025-12-15,2025-12-15,4,124,1375.0,1.4,热成型钢,3.0,0.0,False,False,False,False,True,False,4,727.0
0030085175-000190,T1500HS,热成型钢,1335,1.2,825,740,782.5,22.5,75.0,2025-11-15,2025-11-15,4,125,1372.0,1.4,热成型钢,37.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0020049967-000010,DC01-D,普碳,1250,1.5,850,770,810.0,21.5,144.0,2025-10-31,2025-10-31,2,126,1335.0,1.2,热成型钢,85.0,0.30000000000000004,True,False,False,False,True,False,4,727.0
0020049982-000040,DC01,普碳,1250,1.8,850,770,810.0,21.5,195.7,2025-10-31,2025-10-31,2,127,1250.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,4,727.0
0030085309-000010,T1500HS,热成型钢,1210,1.8,825,740,782.5,21.5,96.0,2025-12-15,2025-12-15,1,128,1250.0,1.8,普碳,40.0,0.0,True,False,False,False,True,False,4,727.0
0030084050-000140,DC04,IF钢,1200,2.0,835,805,820.0,21.5,96.0,2025-10-31,2025-10-31,1,129,1210.0,1.8,热成型钢,10.0,0.19999999999999996,True,False,False,False,True,True,4,727.0
